x u(x)
0 0
0.002 4.51884e-05
0.004 9.0375e-05
0.006 0.000135558
0.008 0.000180736
0.01 0.000225906
0.012 0.000271068
0.014 0.000316219
0.016 0.000361357
0.018 0.000406481
0.02 0.000451589
0.022 0.00049668
0.024 0.00054175
0.026 0.0005868
0.028 0.000631826
0.03 0.000676827
0.032 0.000721801
0.034 0.000766747
0.036 0.000811663
0.038 0.000856547
0.04 0.000901397
0.042 0.000946211
0.044 0.000990988
0.046 0.00103573
0.048 0.00108042
0.05 0.00112508
0.052 0.00116969
0.054 0.00121425
0.056 0.00125877
0.058 0.00130323
0.06 0.00134765
0.062 0.00139201
0.064 0.00143631
0.066 0.00148056
0.068 0.00152476
0.07 0.00156889
0.072 0.00161296
0.074 0.00165696
0.076 0.0017009
0.078 0.00174477
0.08 0.00178858
0.082 0.00183231
0.084 0.00187597
0.086 0.00191956
0.088 0.00196307
0.09 0.0020065
0.092 0.00204986
0.094 0.00209313
0.096 0.00213632
0.098 0.00217943
0.1 0.00222245
0.102 0.00226538
0.104 0.00230823
0.106 0.00235098
0.108 0.00239364
0.11 0.0024362
0.112 0.00247867
0.114 0.00252104
0.116 0.00256331
0.118 0.00260548
0.12 0.00264755
0.122 0.00268951
0.124 0.00273137
0.126 0.00277312
0.128 0.00281476
0.13 0.00285629
0.132 0.0028977
0.134 0.002939
0.136 0.00298019
0.138 0.00302126
0.14 0.0030622
0.142 0.00310303
0.144 0.00314374
0.146 0.00318432
0.148 0.00322477
0.15 0.0032651
0.152 0.0033053
0.154 0.00334537
0.156 0.0033853
0.158 0.00342511
0.16 0.00346477
0.162 0.0035043
0.164 0.0035437
0.166 0.00358295
0.168 0.00362206
0.17 0.00366103
0.172 0.00369985
0.174 0.00373853
0.176 0.00377706
0.178 0.00381544
0.18 0.00385367
0.182 0.00389174
0.184 0.00392967
0.186 0.00396744
0.188 0.00400505
0.19 0.0040425
0.192 0.0040798
0.194 0.00411693
0.196 0.0041539
0.198 0.00419071
0.2 0.00422735
0.202 0.00426383
0.204 0.00430013
0.206 0.00433627
0.208 0.00437223
0.21 0.00440803
0.212 0.00444365
0.214 0.00447909
0.216 0.00451436
0.218 0.00454944
0.22 0.00458435
0.222 0.00461908
0.224 0.00465363
0.226 0.00468799
0.228 0.00472216
0.23 0.00475616
0.232 0.00478996
0.234 0.00482357
0.236 0.00485699
0.238 0.00489022
0.24 0.00492326
0.242 0.00495611
0.244 0.00498875
0.246 0.00502121
0.248 0.00505346
0.25 0.00508551
0.252 0.00511736
0.254 0.00514902
0.256 0.00518046
0.258 0.00521171
0.26 0.00524274
0.262 0.00527357
0.264 0.00530419
0.266 0.00533461
0.268 0.00536481
0.27 0.0053948
0.272 0.00542458
0.274 0.00545414
0.276 0.00548349
0.278 0.00551262
0.28 0.00554153
0.282 0.00557023
0.284 0.0055987
0.286 0.00562695
0.288 0.00565499
0.29 0.0056828
0.292 0.00571038
0.294 0.00573774
0.296 0.00576487
0.298 0.00579177
0.3 0.00581845
0.302 0.0058449
0.304 0.00587111
0.306 0.0058971
0.308 0.00592285
0.31 0.00594836
0.312 0.00597365
0.314 0.00599869
0.316 0.0060235
0.318 0.00604807
0.32 0.00607241
0.322 0.0060965
0.324 0.00612035
0.326 0.00614396
0.328 0.00616733
0.33 0.00619046
0.332 0.00621334
0.334 0.00623597
0.336 0.00625836
0.338 0.0062805
0.34 0.0063024
0.342 0.00632404
0.344 0.00634544
0.346 0.00636658
0.348 0.00638748
0.35 0.00640812
0.352 0.00642851
0.354 0.00644864
0.356 0.00646852
0.358 0.00648815
0.36 0.00650752
0.362 0.00652663
0.364 0.00654548
0.366 0.00656408
0.368 0.00658241
0.37 0.00660049
0.372 0.00661831
0.374 0.00663586
0.376 0.00665316
0.378 0.00667019
0.38 0.00668695
0.382 0.00670346
0.384 0.00671969
0.386 0.00673567
0.388 0.00675137
0.39 0.00676681
0.392 0.00678199
0.394 0.00679689
0.396 0.00681153
0.398 0.0068259
0.4 0.00684
0.402 0.00685383
0.404 0.00686739
0.406 0.00688067
0.408 0.00689369
0.41 0.00690643
0.412 0.0069189
0.414 0.0069311
0.416 0.00694303
0.418 0.00695467
0.42 0.00696605
0.422 0.00697715
0.424 0.00698798
0.426 0.00699852
0.428 0.0070088
0.43 0.00701879
0.432 0.00702851
0.434 0.00703795
0.436 0.00704712
0.438 0.007056
0.44 0.00706461
0.442 0.00707294
0.444 0.00708099
0.446 0.00708876
0.448 0.00709625
0.45 0.00710345
0.452 0.00711038
0.454 0.00711703
0.456 0.0071234
0.458 0.00712948
0.46 0.00713529
0.462 0.00714081
0.464 0.00714605
0.466 0.00715101
0.468 0.00715569
0.47 0.00716008
0.472 0.00716419
0.474 0.00716802
0.476 0.00717157
0.478 0.00717483
0.48 0.00717781
0.482 0.0071805
0.484 0.00718292
0.486 0.00718505
0.488 0.00718689
0.49 0.00718845
0.492 0.00718973
0.494 0.00719072
0.496 0.00719143
0.498 0.00719186
0.5 0.007192
0.502 0.00719186
0.504 0.00719143
0.506 0.00719072
0.508 0.00718973
0.51 0.00718845
0.512 0.00718689
0.514 0.00718505
0.516 0.00718292
0.518 0.0071805
0.52 0.00717781
0.522 0.00717483
0.524 0.00717157
0.526 0.00716802
0.528 0.00716419
0.53 0.00716008
0.532 0.00715569
0.534 0.00715101
0.536 0.00714605
